 100.0     0.00    0.4065E+11    1     128^3 :  box [h^-1 Mpc], redshift, part. mass [h^-1 M_s], nspecies, n	#
objects with more than   20 particles found at linking lenght 0.20000	#
      #      x     y    z h^-1 Mpc         velocity[km/s]      lkl   mass h^-1 M_s  sigma  sigma_v  r_sph  delta  spin p.	WebID
     137   36.1115  50.6132  40.2922     8.3  -287.5  -373.3      770  0.3130E+14  0.3766   525.3  0.5824   440.4      0.5242E-01	2
     138   95.7452  20.9917  10.1197   -53.4  -228.7     5.8      763  0.3101E+14  0.3876   504.0  0.6045   390.2      0.3004E-01	3
     139   53.8100  13.1986  82.6001   148.9   473.4   -54.0      760  0.3089E+14  0.5449   469.2  0.6250   351.5      0.3100E-01	2
     140   47.8228  24.4876  94.9377  -210.2  -459.3  -199.5      757  0.3077E+14  0.3876   461.7  0.6251   350.0      0.8946E-01	2
     141   27.3481  55.9470  38.1832   161.3  -224.9  -144.9      757  0.3077E+14  0.6921   415.2  0.6359   332.4      0.1081    	2
     142    8.7521   9.5091   1.4834  -317.0    31.0  -225.6      752  0.3057E+14  0.4367   480.4  0.6306   338.5      0.8649E-01	3
     143   13.1493  10.5512  97.0849  -117.8   175.2   372.8      748  0.3040E+14  0.4347   426.4  0.6479   310.5      0.8727E-01	2
     144   92.9772  43.7805   9.5094   -64.5  -209.9   271.1      737  0.2996E+14  0.4179   485.0  0.6079   370.6      0.5933E-01	2
     145   32.3997  98.0083  25.2237   180.7   341.6     0.3      736  0.2992E+14  0.4121   465.8  0.6077   370.4      0.5691E-01	3
     146   16.6629  95.1650  51.5151   108.7   380.2    62.4      734  0.2983E+14  0.3869   493.6  0.5998   384.2      0.3710E-01	3
     147   27.3641  99.2060  39.0951    76.2   204.4    96.6      730  0.2967E+14  0.3425   532.0  0.5720   440.8      0.6683E-01	2
     148   92.4585  50.3604  14.1026   142.0  -215.3  -266.2      721  0.2931E+14  0.3967   470.5  0.5919   392.7      0.3315E-01	2
     149   38.5836  28.5497  21.0417  -270.2    92.1  -202.6      719  0.2922E+14  0.3877   509.1  0.5828   410.4      0.7761E-01	2
     150   87.8323  66.7070   9.9640   333.7   114.5  -163.7      718  0.2918E+14  0.3790   507.7  0.5837   407.9      0.4575E-01	2
     151   96.5125  93.2872  24.2727   -60.4   285.8   -61.8      717  0.2914E+14  0.3965   496.2  0.5956   383.2      0.6225E-01	2
     152   24.6987  99.7585  55.9439  -200.9    92.0   -57.1      716  0.2910E+14  0.3825   470.8  0.5959   382.2      0.7439E-01	2
     153   32.2334  69.9493  11.3851   -40.0   -95.7  -126.0      709  0.2882E+14  0.3851   457.5  0.6043   362.8      0.6065E-01	3
     154   44.6928  22.2665  37.8179   126.5  -135.5   -80.2      708  0.2878E+14  0.3677   493.9  0.5940   381.7      0.6672E-01	2
     155   97.5777  48.2644  15.5109    16.0  -449.1   -38.5      704  0.2861E+14  0.5258   462.2  0.6040   360.8      0.7947E-01	2
     156   66.4780  21.8016  59.2461  -338.2  -321.2   137.0      703  0.2857E+14  0.3712   479.9  0.5748   418.2      0.5328E-01	3
     157   84.6407  45.5434  82.2686   -90.4  -376.2   175.4      692  0.2813E+14  0.4462   424.5  0.6224   324.0      0.5318E-01	2
     158   33.7324  25.2553  88.0984     6.6  -802.2   307.3      687  0.2792E+14  0.3227   502.1  0.5590   444.4      0.4651E-01	2
     159   69.6849  26.4306   7.4227   -65.7   -79.3  -114.6      684  0.2780E+14  0.3301   501.5  0.5526   458.0      0.3988E-01	2
     160    6.9753   9.0406   1.0809   220.1   -17.5   109.1      680  0.2764E+14  0.4692   450.6  0.6349   299.9      0.1026    	3
     161   60.4738  85.4037   6.1198    16.6   211.7   -30.2      675  0.2744E+14  0.4054   468.2  0.6071   340.7      0.2855E-01	3
     162   25.9424  45.6800  87.2716    63.1  -185.1   110.0      675  0.2744E+14  0.3370   479.1  0.5786   393.6      0.3780E-01	2
     163   14.8567  54.8858  84.5546    82.6  -133.9   277.2      674  0.2740E+14  0.3509   489.6  0.5805   389.2      0.9888E-02	3
     164   38.3504   0.4713  29.5920   -53.7   247.9   -79.0      669  0.2719E+14  0.3508   452.8  0.5828   381.7      0.2066E-01	2
     165   37.8029  91.8310  73.9403   -20.7   187.9   -92.1      668  0.2715E+14  0.5302   432.6  0.5869   373.2      0.8907E-01	2
     166   20.2140  76.0771   0.5724   139.7   189.8  -117.3      667  0.2711E+14  0.3915   430.7  0.5840   378.3      0.5549E-01	2
     167   67.2320  16.2226  87.0298  -482.8   -95.2   116.4      661  0.2687E+14  0.3899   458.8  0.5856   371.7      0.6324E-01	2
     168   89.7389  74.8510  10.6190    30.1  -206.6     1.8      661  0.2687E+14  0.4248   437.7  0.6170   317.7      0.5130E-01	2
     169   25.4245  41.8032  12.5631   305.8  -243.9   -16.5      661  0.2687E+14  0.3321   554.6  0.5265   511.9      0.3301E-02	2
     170   65.2487  12.8034  56.9186  -408.0  -311.9   112.4      660  0.2683E+14  0.4333   450.4  0.5748   392.7      0.6785E-01	2
     171   69.9973   6.0683  45.8140  -210.0   197.0   -24.2      659  0.2679E+14  0.3918   447.6  0.5775   386.5      0.3679E-01	2
     172   91.0537   0.5851  30.0312    -0.6   111.2   275.9      654  0.2658E+14  0.3687   453.5  0.5755   387.6      0.6807E-01	2
     173   25.0301  51.6243  89.6105    45.1   -84.4   209.1      654  0.2658E+14  0.3514   464.7  0.5822   374.4      0.7984E-01	2
     174   85.2092  68.8934  24.6272    99.3   173.2  -179.6      652  0.2650E+14  0.6106   415.3  0.6216   306.4      0.3214E-01	3
     175   28.9425  58.4679  41.8044    98.1  -227.1  -404.7      644  0.2618E+14  0.3216   492.2  0.5400   462.2      0.5816E-01	2
     176   42.1660  29.2650  32.6700   -20.6  -114.4  -226.5      638  0.2593E+14  0.4039   501.2  0.5632   403.5      0.5936E-01	2
     177   33.1704  99.6093  42.1851     3.5   285.8     8.7      638  0.2593E+14  0.3930   433.7  0.5972   338.2      0.4987E-01	2
     178    2.5313  89.2856  98.7830   -35.8   355.1   314.5      636  0.2585E+14  0.3732   432.9  0.5878   353.7      0.2322E-01	2
     179   93.7669  98.8362  34.2322   -18.1   580.1  -400.4      635  0.2581E+14  0.4129   441.0  0.5607   407.0      0.2072E-01	3
     180   98.2753  90.3911  11.9674   -92.6   311.4   162.7      632  0.2569E+14  0.3658   464.5  0.5871   352.7      0.9518E-01	2
     181   27.5585  17.0832  83.2750   624.5  -326.9   415.5      630  0.2561E+14  0.2932   558.8  0.5184   511.0      0.5099E-01	2
     182   72.5408   7.1924  99.8204   126.9   582.4  -580.8      629  0.2557E+14  0.3950   448.5  0.5407   449.6      0.9025E-01	3
     183   25.1410  17.2605  85.6046   723.9  -298.4   228.0      626  0.2544E+14  0.3717   421.8  0.5920   340.6      0.3081E-01	2
     184   31.0502  14.6376  75.4936   204.7   111.6   309.9      622  0.2528E+14  0.5531   412.1  0.5924   337.8      0.1605    	2
     185   96.3587  47.7823  87.6447    84.1  -207.0   143.9      621  0.2524E+14  0.3664   456.4  0.5725   373.8      0.3874E-01	2
     186   51.5910  28.8397  40.6316  -147.9  -382.5  -156.3      621  0.2524E+14  0.3436   471.5  0.5357   456.5      0.6892E-01	2
     187   34.0976  25.7495  13.6814  -439.4  -259.6    71.6      621  0.2524E+14  0.3440   444.8  0.5561   407.9      0.5752E-01	2
     188    8.1797  61.4243  62.2260    73.3   104.0    69.0      620  0.2520E+14  0.3260   482.4  0.5451   432.4      0.2469E-01	3
     189   19.7842  64.9189  38.4527   161.6   -50.6     1.0      612  0.2488E+14  0.4085   463.1  0.5803   353.6      0.3956E-01	2
     190   47.8600  31.5364  23.1772  -357.5  -363.9   -34.3      609  0.2475E+14  0.3466   478.7  0.5814   349.9      0.3142E-01	2
     191   87.0661  34.6002   9.1548   435.6    41.3   151.9      608  0.2471E+14  0.4014   438.6  0.6014   315.5      0.7466E-01	2
